"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "Properties", "Ignore", "HTML", "Docker", "XML", "Shell Script", "YAML", "TypeScript JSX", "comment", "blank", "total"
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/package-lock.json", "JSON", 14219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14220
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/package.json", "JSON", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/public/manifest.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/scripts/generate-contract-types.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 5, 6, 18
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/sonar-project.properties", "Properties", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/adapters/bridge-api.ts", "TypeScript", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 238
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/adapters/browser.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/adapters/env.ts", "TypeScript", 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 311
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/adapters/error.ts", "TypeScript", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 151
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/adapters/ethereum.ts", "TypeScript", 0, 0, 0, 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 378
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/adapters/fiat-exchange-rates-api.ts", "TypeScript", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 110
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/adapters/storage.ts", "TypeScript", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30, 241
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/adapters/tokens.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/background-pattern.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/ethereum-erc20-tokens.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/ethereum-erc20-tokens.ts", "TypeScript", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 204
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/arrow-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/arrow-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/arrow-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/caret-down-old.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/caret-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/caret-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/chains/arbitrum.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/chains/ethereum.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/chains/vizing-zkevm.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/checkbox-checked.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/checkbox-unchecked.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/clock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/copy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/currencies/cny.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/currencies/eur.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 1, 124
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/currencies/gbp.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/currencies/jpy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/currencies/usd.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/currency-conversion.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/error.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/icon-back.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/info.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/l1-bridge.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/sheep/Desktop/web3_projects/zkevm-bridge-ui/src/assets/icons/l2-bridge.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
